"Your Kindle Notes For:",,,
"OGILVY ON ADVERTISING",,,
"by David Ogilvy",,,
"Free Kindle instant preview:",,,
"http://a.co/geSdYmX",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 36","","I do not regard advertising as entertainment or an art form, but as a medium of information."
"Highlight (Yellow)","Location 54","","Consumers still buy products whose advertising promises them value for money, beauty, nutrition, relief from suffering, social status and so on. All over the world."
"Highlight (Yellow)","Location 89","","‘I have seen one advertisement actually sell not twice as much, not three times as much, but 19½ times as much as another."
"Highlight (Yellow)","Location 93","","The wrong advertising can actually reduce the sales of a product."
"Highlight (Yellow)","Location 105","","First, study the product you are going to advertise. The more you know about it, the more likely you are to come up with a big idea for selling it."
"Highlight (Yellow)","Location 122","","Your next chore is to find out what kind of advertising your competitors have been doing for similar products, and with what success. This will give you your bearings."
"Highlight (Yellow)","Location 123","","Now comes research among consumers. Find out how they think about your kind of product, what language they use when they discuss the subject, what attributes are important to them, and what promise would be most likely to make them buy your brand."
"Highlight (Yellow)","Location 147","","The personality of a product is an amalgam of many things – its name, its packaging, its price, the style of its advertising, and, above all, the nature of the product itself"
"Highlight (Yellow)","Location 175","","It takes a big idea to attract the attention of consumers and get them to buy your product. Unless your advertising contains a big idea, it will pass like a ship in the night."
"Highlight (Yellow)","Location 190","","It will help you recognize a big idea if you ask yourself five questions: 1 Did it make me gasp when I first saw it? 2 Do I wish I had thought of it myself? 3 Is it unique? 4 Does it fit the strategy to perfection? 5 Could it be used for 30 years?"
"Highlight (Yellow)","Location 228","","Research shows that the readership of an advertisement does not decline when it is run several times in the same magazine. Readership remains at the same level throughout at least four repetitions."
"Highlight (Yellow)","Location 276","","Advertising agencies waste their client’s money repeating the same mistakes."
"Highlight (Yellow)","Location 332","","Says Reeves, ‘Originality is the most dangerous word in advertising. Preoccupied with originality, copywriters pursue something as illusory as swamp fire, for which the Latin phrase is ignis fatuus.’"
"Highlight (Yellow)","Location 346","","Rosser Reeves: ‘Do you want fine writing? Do you want masterpieces? Or do you want to see the goddamned sales curve start moving up?’"
